,name,address,date,kWh,year,month,day,hour,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,T2M,RH2M,WS10M,ALLSKY_SFC_SW_DIFF,PRECTOTCORR
0,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 08:00:00,1.13,2017,9,11,8,346.35,491.35,395.71,0.54,0.12,61.32,19.2,35.51,5.01,177.01,0.0
1,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 09:00:00,2.34,2017,9,11,9,444.83,611.92,489.2,0.57,0.12,54.36,23.2,24.94,6.45,187.6,0.0
2,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 10:00:00,3.656,2017,9,11,10,460.38,691.58,345.25,0.53,0.12,49.47,25.83,21.55,6.91,257.14,0.0
3,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 11:00:00,4.577,2017,9,11,11,607.78,719.65,386.41,0.67,0.12,47.42,27.34,20.96,7.01,340.41,0.0
4,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 12:00:00,6.506,2017,9,11,12,641.58,701.7,682.24,0.72,0.12,48.6,28.24,20.78,6.95,199.08,0.0
5,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 13:00:00,7.031,2017,9,11,13,576.6,634.78,657.65,0.71,0.12,52.79,28.8,20.53,6.64,203.05,0.0
6,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 14:00:00,9.218,2017,9,11,14,473.5,522.97,644.42,0.69,0.12,59.28,28.93,20.51,6.41,160.92,0.0
7,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 15:00:00,9.018,2017,9,11,15,340.45,377.75,578.72,0.66,0.13,67.29,28.37,21.73,6.01,128.26,0.0
8,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 16:00:00,5.266,2017,9,11,16,185.55,213.2,471.76,0.58,0.16,76.18,26.19,27.36,4.65,77.01,0.0
9,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 17:00:00,2.579,2017,9,11,17,44.95,53.38,243.2,0.42,0.17,85.45,21.97,37.53,3.93,25.98,0.0
10,Calgary Fire Hall Headquarters,1212 42 AV SE,2017-09-11 18:00:00,3.118,2017,9,11,18,0.0,0.0,0.0,-999.0,-999.0,90.0,19.29,43.21,4.03,0.0,0.0
