YEAR,MO,DY,HR,T2M,RH2M,ALLSKY_KT,ALLSKY_SFC_SW_DWN,PRECTOTCORR,WS10M,SZA,Energy PV system (Wh)
2022,1,26,0,7.49,91.54,-999.0,0.0,0.0,3.13,90.0,0
2022,1,26,1,7.39,90.57,-999.0,0.0,0.0,3.14,90.0,0
2022,1,26,2,7.31,88.36,-999.0,0.0,0.0,3.16,90.0,0
2022,1,26,3,7.33,84.9,-999.0,0.0,0.0,3.21,90.0,0
2022,1,26,4,7.49,80.21,-999.0,0.0,0.0,3.21,90.0,0
2022,1,26,5,7.8,74.86,-999.0,0.0,0.0,3.11,90.0,0
2022,1,26,6,8.11,69.57,-999.0,0.0,0.0,2.89,90.0,0
2022,1,26,7,8.57,65.11,0.33,25.27,0.0,2.55,86.85,1
2022,1,26,8,10.28,62.82,0.56,168.05,0.0,2.14,77.74,0
2022,1,26,9,11.9,51.43,0.69,333.6,0.0,1.94,69.85,0
2022,1,26,10,13.48,48.05,0.73,448.4,0.0,1.83,63.98,0
2022,1,26,11,14.49,45.28,0.74,510.27,0.0,1.83,60.75,1182
2022,1,26,12,15.01,47.16,0.75,517.0,0.0,1.8,60.6,2127
2022,1,26,13,15.29,45.55,0.74,465.2,0.0,1.8,63.57,2096
2022,1,26,14,15.15,46.69,0.71,352.42,0.0,1.82,69.22,1704
2022,1,26,15,14.19,60.11,0.62,195.82,0.0,1.93,76.95,1033
2022,1,26,16,12.38,63.95,0.42,40.47,0.0,2.63,86.1,503
2022,1,26,17,11.52,63.66,-999.0,0.0,0.0,3.1,90.0,53
2022,1,26,18,11.01,66.73,-999.0,0.0,0.0,3.28,90.0,0
2022,1,26,19,10.53,68.9,-999.0,0.0,0.0,3.36,90.0,0
2022,1,26,20,10.21,68.69,-999.0,0.0,0.0,3.27,90.0,0
2022,1,26,21,10.09,66.37,-999.0,0.0,0.0,2.96,90.0,0
2022,1,26,22,10.09,62.96,-999.0,0.0,0.0,2.46,90.0,0
2022,1,26,23,9.98,61.18,-999.0,0.0,0.0,1.91,90.0,0
2022,1,27,0,9.38,64.78,-999.0,0.0,0.0,1.88,90.0,0
2022,1,27,1,8.64,72.13,-999.0,0.0,0.0,2.33,90.0,0
2022,1,27,2,8.13,81.37,-999.0,0.0,0.0,2.69,90.0,0
2022,1,27,3,7.88,89.58,-999.0,0.0,0.0,2.81,90.0,0
2022,1,27,4,7.94,94.81,-999.0,0.0,0.0,2.69,90.0,0
2022,1,27,5,8.33,93.37,-999.0,0.0,0.0,2.3,90.0,0
